Identifier	Dose Form	
1008211000202107	Solution for blood fraction modification
1007391000202107	Oral gum
230601000087108	Powder for prolonged-release oral suspension
230591000087100	Powder for solution for haemodialysis
230581000087102	Solution for intraocular irrigation
92631000087102	Modified-release oral suspension
62071000087106	Prolonged-release chewable tablet
1306760007	Prolonged-release intracameral implant
1306759002	Prolonged-release intravitreal implant
1297071006	Conventional release intravesical solution and solution for injection
1297017001	Powder for conventional release intravesical solution and solution for injection
1290360004	Chewable and/or dispersible oral tablet
1287605002	Solution for intraperitoneal instillation
1279737007	Prolonged-release eye drops solution
1269278009	Porous impregnated material for pulmonary vapor inhalation
1255346009	Intestinal gel
1255338008	Chewable soft capsule
1255299001	Tablet for oromucosal solution for mouthwash
1237318003	Concentrate for cutaneous emulsion spray
1237310005	Concentrate for oromucosal solution for gargle
1237293005	Concentrate for solution for nebulizer
1237291007	Concentrate for solution for intraocular irrigation
1237290008	Concentrate for oral and rectal solution
1237289004	Concentrate for oromucosal solution
1237288007	Concentrate for intravesical solution
1237287002	Concentrate for cutaneous solution
1237286006	Concentrate for emulsion for injection
1237285005	Concentrate for emulsion for infusion and/or injection
1237284009	Concentrate for emulsion for infusion
1237275009	Concentrate for solution for haemodialysis
1237274008	Concentrate for dispersion for infusion and/or injection
1237273002	Concentrate for dispersion for infusion
1237271000	Concentrate for dispersion for injection
1237270004	Concentrate for solution for peritoneal dialysis
1237269000	Concentrate for solution for infusion and/or injection
1237268008	Concentrate for solution for injection
1237267003	Concentrate for solution for infusion
1237266007	Concentrate for rectal solution
1237265006	Concentrate for oral solution
1237264005	Concentrate for oral suspension
1237263004	Concentrate for suspension for injection
1237073006	Prolonged-release intrauterine delivery system
1236820004	Solution for solution for tissue adhesive
1236816003	Powder for solution for tissue adhesive
1236769008	Gas for dispersion for infusion and/or injection
1236768000	Dispersion for infusion and/or injection
1236767005	Impregnated material for tissue adhesive
1236766001	Powder for tissue adhesive
1236765002	Solution for tissue adhesive
1234927004	Powder for solution for infusion or injection
1234926008	Solution for infusion or injection
1234925007	Dispersion for infusion or injection
1234924006	Emulsion for infusion or injection
1234923000	Gas for dispersion for infusion or injection
1234766003	Solution for dental cement
1231838002	Absorbent impregnated material for vapour inhalation
1231837007	Dispersion for nebuliser
1231836003	Absorbent impregnated material for cutaneous application
1231833006	Prolonged-release solution for injection
1231818003	Impregnated material for ophthalmic application
1231724003	Solution for cardioplegia or organ preservation
1231723009	Conventional release toothpaste
1231720007	Intraocular drops solution
1231719001	Powder for solution for intraocular drops
1231714006	Pure liquid for oral drops
1231713000	Oral pure liquid
1231712005	Cutaneous pure liquid
1231711003	Pure liquid for vapor inhalation
1231579008	Intravesical suspension
1231578000	Powder for intravesical solution
1231577005	Conventional release solution for cardioplegia
1231572004	Prolonged-release transdermal delivery system
1231571006	Prolonged-release vaginal delivery system
1231567008	Solution for vapor inhalation
1231566004	Tablet for vapour inhalation
1231565000	Capsule for vapour inhalation
1231564001	Ointment for vapour inhalation
1231563007	Powder for vapor inhalation
1231562002	Emulsion for vapour inhalation
1231536006	Oromucosal solution for gargle or mouthwash
1231479005	Solution for haemodiafiltration or haemodialysis
1231478002	Solution for hemodiafiltration
1231476003	Solution for haemofiltration
1231474000	Solution for haemodialysis
1231473006	Solution for peritoneal dialysis
1231373005	Granules for solution for oral drops
1231372000	Powder for suspension for oral drops
1231371007	Oromucosal film
1231370008	Urethral ointment
1231323007	Powder for dental cement
1231322002	Dental cement
1231318007	Cutaneous collodion
1231297004	Prolonged-release periodontal insert
1230390008	Coated oral granules
1230389004	Coated oral tablet
1230360001	Sublingual film
1230359006	Sublingual powder
1230358003	Effervescent granules for oral suspension
1230351009	Sublingual lyophilisate
1230350005	Cutaneous poultice
1230336000	Oral effervescent powder
1230331005	Compressed gas for inhalation
1230330006	Liquified gas for inhalation
1230329001	Cryogenic gas for inhalation
1230325007	Powder for suspension for endotracheopulmonary instillation
1230324006	Powder for solution for endotracheopulmonary instillation
1230267000	Powder for dispersion for injection
1230224008	Cutaneous lacquer
1230222007	Periodontal insert
1230221000	Periodontal powder
1230220004	Periodontal gel
1230219005	Oromucosal compressed lozenge
1230202008	Powder for oromucosal solution for mouthwash
1230200000	Powder for oromucosal solution for gargle
1230196005	Powder for dispersion for infusion
1230195009	Gas for dispersion for injection
1230194008	Gas for dispersion for infusion
1230193002	Tablet for oromucosal solution for gargle
1230186001	Prolonged-release dispersion for injection
1230185002	Dispersion for injection
1230184003	Dispersion for infusion
1230073008	Cutaneous ointment spray
1230065004	Cutaneous emulsion spray
1229992005	Powder for solution for iontophoresis
1229935009	Sublingual emulsion spray
1229934008	Oromucosal spray emulsion
1229933002	Transdermal solution spray
1229932007	Transdermal solution
1229931000	Powder for vaginal solution
1229930004	Ear and nose drops solution
1217290000	Oromucosal cream
1217289009	Oromucosal ointment
1217288001	Soft oral capsule
1217287006	Hard oral capsule
1217286002	Modified-release oral hard capsule
1217285003	Prolonged-release oral hard capsule
1217284004	Gastro-resistant oral hard capsule
1209141005	Emulsion for infusion and/or injection
1209112001	Granules for oral and rectal suspension
1209096001	Oral and rectal solution
1209095002	Solution for intravesical and urethral irrigation
1209093009	Ear and nose drops suspension
1209021002	Powder for solution for infusion and/or injection
1208958005	Solution for infusion and/or injection
1173983000	Cutaneous oil for bathing
1163573008	Film-coated oral tablet
1163202003	Cutaneous emulsion for bathing
1002252007	Gas for insufflation
896760006	Powder for oral and rectal suspension
879805002	Conventional release oral pellets in capsule
840614006	Conventional release intraarticular implant
785910004	Prolonged-release intralesional implant
785908001	Shampoo
785899003	Solution for ocular irrigation
785898006	Solution for irrigation
783748000	Foam for injection
782648001	Prolonged-release vaginal pessary
769120006	Effervescent powder for oral suspension
769115006	Effervescent powder for oral solution	
767059009	Vaginal pessary	
766234004	Powder for suspension for inhalation
766233005	Gastro-resistant and prolonged-release oral granules
765367006	Emulsion for infusion
765164007	Ear and eye and nose drops solution
765163001	Ear and eye drops solution
765065005	Powder for suspension for infusion
765064009	Modified-release oral soft capsule
765062008	Prolonged-release oral soft capsule
765061001	Gastro-resistant oral soft capsule
764843001	Powder for solution for infusion
764842006	Prolonged-release ocular implant
764803006	Transdermal spray
764802001	Transdermal gel	
764788008	Oropharyngeal solution
764787003	Oropharyngeal foam
764780001	Effervescent oral tablet
764776006	Dental pellet
764774009	Conventional release and prolonged-release oral tablet
764773003	Oromucosal pastille
764772008	Prolonged-release vaginal ring
764770000	Dual delayed-release oral capsule	
764501003	Oromucosal lozenge
764499006	Buccal lozenge
764486008	Prolonged-release cutaneous patch
764485007	Cutaneous patch
764478008	Gingival ointment
764477003	Transdermal cream
764446000	Nasal paste
764378009	Enteral dose form
764297006	Transdermal foam
764296002	Prolonged-release subcutaneous implant
763852000	Buccal spray
763823003	Powder for oromucosal gel
763820000	Gastro-resistant oral suspension
763819006	Prolonged-release transdermal film
763485003	Intrauterine suspension
763484004	Intrauterine solution
763446005	Gel for injection
763445009	Dental paste
763340003	Sublingual solution spray
762895008	Granules for oromucosal solution
762893001	Transdermal ointment
762072000	Cutaneous tape
762065001	Cutaneous lotion
762064002	Eye emulsion
761907007	Powder for intravesical suspension
761906003	Oromucosal suspension spray
