Identifier	Generic Name	Substance Identifier	Route of Administration	Dose Form	Therapeutic Role	Indication	Contra Indication	Interaction with Drugs	Classification of Drugs	Source/ Regulatory	last_updated_on
784977002	Epinephrine 10 microgram/mL and mepivacaine hydrochloride 20 mg/mL solution for injection	387362001+65741009	78421000+47625008+34206005	385219001							20190131	
325533008	Estradiol valerate 2 mg oral tablet	96350008	26643006	421026006							20260305	
325329000	Carbimazole 5 mg oral tablet	395831005	26643006	421026006	Imidazole-containing product	Carbimazole is a member of the class of imidazoles that is methimazole in which the nitrogen bearing a hydrogen is converted into its ethoxycarbonyl derivative. A prodrug for methimazol, carbimazole is used for the treatment of hyperthyroidism. It has a role as a prodrug and an antithyroid drug.	Contraindicated in hyperthyroidism due to nodular goiter and in liver disease.				20180131	
326326000	Ethinyl estradiol 50 microgram and levonorgestrel 250 microgram oral tablet	126097006+126109000	26643006	421026006	Contraceptive agent	This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin (levonorgestrel) and an estrogen (ethinyl estradiol). It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle.	Known or suspected pregnancy is a contraindication of levonorgestrel as an emergency contraceptive.				20260305	
332095007	Allantoin 20 mg/g and coal tar extract 50 mg/g cutaneous lotion	395933009+699003	448598008	762065001							20180131	
416206000	Fosamprenavir (as fosamprenavir calcium) 50 mg/mL oral suspension	412393004	26643006	385024007							20260305	
370404005	Piperacillin (as piperacillin sodium) 3 g and tazobactam (as tazobactam sodium) 375 mg powder for solution for injection vial	427652008+11644000	47625008+78421000	385223009							20260305	
1148466008	Amoxicillin 50 mg/mL oral suspension	372687004	26643006	385024007							20210131	
371226001	Aspirin 325 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 30 mg oral capsule	261000+387458008+387563005+255641001	26643006	420692007							20260305	
441947000	Lacosamide 150 mg oral tablet	441647003	26643006	421026006	Anticonvulsant agent	Lacosamide is used alone and in combination with other medications to control certain types of seizures in adults and children 4 years of age and older. Lacosamide is in a class of medications called anticonvulsants. It works by decreasing abnormal electrical activity in the brain.	Contraindicated in patients with severe liver problems, and hypersensitivity.				20260305	
322977004	Vigabatrin 500 mg oral tablet	310283001	26643006	421026006							20180131	
321881001	Trazodone hydrochloride 50 mg oral capsule	58956008	26643006	420692007							20260305	
765656002	Guaifenesin 600 mg prolonged-release oral tablet	87174009	26643006	385060002							20180131	
2647841000189108	Curcumin stain 125 mg/5 mL and Ubidecarenone 50 mg/5 mL oral syrup	412129003+89028002	26643006	385032004							20251209	
766009008	Nicardipine hydrochloride 45 mg prolonged-release oral capsule	108527006	26643006	385053008							20180131	
376576004	Flutamide 125 mg oral capsule	387587007	26643006	420692007							20260305	
2647851000189106	Clonazepam 250 mcg and Escitalopram (as escitalopram oxalate) 5 mg oral tablet	387383007+412384000	26643006	421026006						CDSCO	20260310	
1231290002	Lamotrigine 100 mg prolonged-release oral tablet	387562000	26643006	385060002							20220130	
406788008	Aripiprazole 15 mg oral tablet	406784005	26643006	421026006	Antipsychotic agent	Mixed bipolar I disorder; Schizophrenia; Bipolar disorder in remission; Bipolar affective disorder, current episode manic; Infantile autism; Agitation associated with Schizophrenia; Depression Treatment Adjunct; Agitation associated with Bipolar Mania; Erythropoietic porphyria; Tourette's syndrome	Neuroleptic malignant syndrome; Suicidal thoughts; Conduction disorder of the heart; Chronic heart failure; Cerebrovascular disease; Leukopenia; Diabetes mellitus; Neutropenic disorder; Alzheimer's disease; Parkinsonism; Orthostatic hypotension; Breastfeeding mother	The concomitant use of Aripiprazole with strong CYP 3A4 inhibitors (e.g., Itraconazole, Clarithromycin) or strong CYP 2D6 inhibitors (e.g., Quinidine, Fluoxetine, Paroxetine) increase the exposure of Aripiprazole compared to the use alone. The intensity of sedation will be greater with the combination of oral Aripiprazole and Benzodiazepines (e.g., lorazepam). Strong CYP 3A4 Inducers (e.g., carbamazepine, rifampin) decrease the exposure of aripiprazole compared to the use Aripiprazole alone. Due to its alpha-adrenergic antagonism, Aripiprazole has the potential to enhance the effect of certain antihypertensive agents.		CDSCO	20260310	
1268397004	Cetuximab 5 mg/mL solution for infusion	409400001	47625008	385229008							20230128	
1303298002	Acetaminophen 50 mg/mL and dextromethorphan hydrobromide 750 microgram/mL and promethazine hydrochloride 1 mg/mL oral solution	14905007+387237004+387517004	26643006	385023001							20240703	
1179265007	Ponesimod 9 mg oral tablet	1179253008	26643006	421026006							20210131	
766275006	Tazarotene 500 microgram/g cutaneous gel	386935009	448598008	421949005						CDSCO	20260310	
1079911000202100	Sofosbuvir 400 mg and velpatasvir 100 mg and voxilaprevir 100 mg oral tablet	710806008+719641001+736536005	26643006	421026006							20230101	
331140000	Mupirocin (as mupirocin calcium) 20 mg/g nasal ointment	441528009	46713006	385151008						CDSCO	20260310	
784890008	Cocaine (as cocaine hydrochloride) 200 mg/mL eye solution	74273006	54485002	422060001							20190131	
868269009	Cholecalciferol 25 microgram oral capsule	18414002	26643006	420692007							20200131	
2409471000189101	Filgrastim (as pegfilgrastim) 6 mg/1 mL solution for injection	385544005	34206005	385219001							20250111	
765946004	Theophylline 250 mg prolonged-release oral capsule	372810006	26643006	385053008	Antiasthmatic agent	Indicated for the treatment of chronic asthma including acute severe asthma and nocturnal asthma.	Contraindicated in patients who have hypersensitivity to ethylenediamine.				20180131	
766419007	Budesonide 100 microgram/actuation nasal spray	395726003	46713006	385157007	Antiasthmatic agent+Corticosteroid and corticosteroid derivative-containing product	It is used for the treatment and prevention of signs and symptoms of seasonal and perennial allergic rhinitis. Treatment of signs and symptoms of nasal polyps.	Hypersensitivity to the active substance.  Severe nasal infections, especially candidiasis. Persons with hemorrhagic diatheses or with a history of recurrent nasal bleeding.	Concomitant administration of other known inhibitors of this enzyme such as itraconazole, clarithromycin, erythromycin) may inhibit the metabolism of, and therefore increase systemic exposure to budesonide. As a result of the CYP3A4 inhibition caused by such medications, there may be an increased risk of developing Cushingâ€™s syndrome.	Schedule H		20180131	
410865003	Cimetidine 10 mg/mL oral suspension	373541007	26643006	385024007							20260305	
377406005	Ethinyl estradiol 30 microgram and levonorgestrel 50 microgram oral tablet	126097006+126109000	26643006	421026006							20180131	
347208002	Pilocarpine hydrochloride 60 mg/mL eye drops	387035001	54485002	385124005							20180131	
1290595002	Coagulation factor IX 500 unit powder for solution for infusion and/or injection vial	54378000	78421000+47625008+34206005	1209021002							20230101	
322645004	Tramadol hydrochloride 50 mg effervescent powder for oral solution sachet	108505002	26643006	769115006							20260305	
765728002	Diclofenac sodium 25 mg gastro-resistant oral tablet	62039007	26643006	385059007							20180131	
1201792008	Linezolid 100 mg dispersible oral tablet	387056004	26643006	421366001						CDSCO	20260310	
319978009	Fish derived omega 3 fatty acid 1 g oral capsule	406774009	26643006	420692007							20260305	
765886006	Ferrous sulfate 150 mg and folic acid 500 microgram prolonged-release oral capsule	63718003+387402000	26643006	385053008							20180131	
1172601007	Eptacog alfa 8 mg powder for solution for injection vial	116066006	47625008+78421000	385223009							20210130	
782049005	Phenobarbital sodium 30 mg/mL solution for injection	76898000	78421000+47625008+34206005	385219001							20190131	
785112006	Pegaptanib (as pegaptanib sodium) 3.33 mg/mL solution for injection	423490007	78421000+47625008+34206005	385219001						CDSCO	20260310	
1285040004	Iron (as sucroferric oxyhydroxide) 500 mg chewable tablet	737661000168109	26643006	66076007							20230131	
765556009	Lithium carbonate 200 mg prolonged-release oral tablet	387095003	26643006	385060002							20180131	
414179004	Ezetimibe 10 mg and simvastatin 80 mg oral tablet	387584000+409149001	26643006	421026006							20260305	
1209011005	Cyclosporine 50 mg/mL solution for infusion and/or injection	387467008	47625008	1208958005						CDSCO	20260310	
765947008	Verapamil hydrochloride 240 mg prolonged-release oral capsule	14340003	26643006	385053008							20180131	
432224007	Prednisolone 1 mg/mL oral suspension	116601002	26643006	385024007							20180131	
417260001	Fluticasone propionate 500 microgram/mL cutaneous lotion	396064000	448598008	762065001							20260305	
1204352005	Pyrazinamide 150 mg dispersible oral tablet	387076005	26643006	421366001							20251209	
2817131000189107	Clobazam 20 mg orodispersible tablet	387572002	26643006	447079001							20260306	
426172007	Dyclonine hydrochloride 10 mg/mL cutaneous solution	57164003	448598008	385108009							20260305	
1197129006	Artemether 20 mg and lumefantrine 120 mg dispersible oral tablet	420307001+420578008	26643006	421366001						CDSCO	20260310	
1187471002	Levocarnitine 200 mg/mL solution for injection	372601001	78421000+47625008+34206005	385219001							20220131	
1197382008	Activated charcoal 813 mg/g granules for oral suspension	32519007	26643006	385029002							20220128	
785125003	Methylphenidate hydrochloride 2.5 mg chewable tablet	42163009	26643006	66076007							20190131	
1145169005	Vericiguat 5 mg oral tablet	1145150000	26643006	421026006	Coronary vasodilator	Symptomatic Chronic Heart Failure; Reduce the risk of cardiovascular death	Renal impairment: Patients with eGFR <15 mL/min/1.73 m2 at treatment initiation or on dialysis; Hepatic impairment; Hypersensitivity	Concomitant use of vericiguat and PDE5 inhibitors such as sildenafil is not recommended due to the potential increased risk for symptomatic hypotension.			20210131	
1231461006	Voriconazole 200 mg powder for solution for infusion vial	385469007	47625008	764843001							20220130	
333254007	Cetrimide 1.5 mg/mL and chlorhexidine gluconate 150 microgram/mL cutaneous solution	395895003+108895000	448598008	385108009							20190131	
2075891000189101	Nicorandil 2 mg powder for solution for injection vial	395809002	47625008	385223009	Potassium channel activator-containing product+Coronary vasodilator	Angina Pectoris; Myocardial Infarction; Congestive Heart Failure	Serious hepatic or renal dysfunction; Cerebral dysfunction; Serious hypotension or cardiogenic shock; Eisenmenger's syndrome; Primary pulmonary hypertension; Right ventricular infarction; Symptoms of dehydration; Neurocirculatory asthenia; Closed angle glaucoma; History of hypersensitivity to potassium channel openers, nitrates and nitrite derivatives	Nicorandil may potentiate the blood pressure lowering effect of other vasodilators, tricyclic antidepressants	Schedule H		20240415	
