Identifier	Substance Name	CAS Number	UNII	Substance Description	Molecular Weight	Toxicity	SMILE	InChI	IUPAC Name	Molecular Formula	last_updated_on
129558005	Imatinib mesylate	152459-95-5	8A1O1M485B	Imatinib is a small molecule kinase inhibitor used to treat certain types of cancer. It is used in treating chronic myelogenous leukemia (CML), gastrointestinal stromal tumors (GISTs) and a number of other malignancies.		The most frequently reported adverse reactions (>30%) were edema, nausea, vomiting, muscle cramps, musculoskeletal pain, diarrhea, rash, fatigue and abdominal pain.				C29H31N7O	20020131	
129494006	Choriogonadotropin alfa										20020131	
116521005	Citalopram hydrobromide										20020131	
109083009	Metformin hydrochloride	1115-70-4		Metformin is an antihyperglycemic agent of the biguanide class, used for the management of type II diabetes). Currently, metformin is the first drug of choice for the management of type II diabetes and is prescribed to at least 120 million people worldwid		Oral LD50 (rat): 1 g/kg; Intraperitoneal LD50 (rat): 500 mg/kg; Subcutaneous LD50 (rat): 300 mg/kg; Oral LD50 (mouse): 1450 mg/kg; Intraperitoneal LD50 (mouse): 420 mg/kg; Subcutaneous LD50 (mouse): 225 mg/kg			1-carbamimidamido-N,N-dimethylmethanimidamide hydrochloride		20020131	
83881004	Aluminum oxide										20020131	
363581004	Tetrabenazine										20020131	
443129001	Prasugrel										20100131	
387256009	Primidone										20030131	
716017002	Idarucizumab										20160131	
13585009	Cefotetan										20020131	
78447009	Phospholipid										20020131	
416058004	Pegaptanib										20050131	
387081001	Capreomycin										20030131	
387242007	Misoprostol										20030131	
387374002	Paclitaxel	33069-62-4	P88XT4IS4D	Paclitaxel is a chemotherapeutic agent marketed under the brand name Taxol among others. Used as a treatment for various cancers, paclitaxel is a mitotic inhibitor that was first isolated in 1971 from the bark of the Pacific yew tree which contains endoph		Rat (ipr) LD50=32530 Âµg/kg. Symptoms of overdose include bone marrow suppression, peripheral neurotoxicity, and mucositis. Overdoses in pediatric patients may be associated with acute ethanol toxicity.	[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C4=CC=CC=C4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]1(C)[C@@H](O)C[C@H]1OC[C@@]21OC(C)=O)C3(C)C				20030131	
747006	Oxamniquine										20020131	
77353007	Fenoprofen calcium										20020131	
1217472004	Clarithromycin lactobionate										20220130	
387111009	Dichlorphenamide										20030131	
373225007	Selective serotonin re-uptake inhibitor										20180131	
256173002	Octinoxate										20020131	
384976003	Amlodipine besylate										20030131	
11986009	Penicillin G potassium										20020131	
387173000	Buprenorphine										20030131	
387110005	Netilmicin										20030131	
863942001	Osilodrostat phosphate										20200131	
57272005	Iodine compound										20020131	
372584003	Dexamethasone	50-02-2	2BP70L44PR	An anti-inflammatory 9-fluoro-glucocorticoid.		Oral, rat LD50: >3 gm/kg. Signs of overdose include retinal toxicity, glaucoma, subcapsular cataract, gastrointestinal bleeding, pancreatitis, aseptic bone necrosis, osteoporosis, myopathies, obesity, edemas, hypertension, proteinuria, diabetes, sleep dis				C22H29FO5	20020131	
1162412004	Pegcetacoplan										20210130	
724031004	Luliconazole										20170131	
116574000	Beclomethasone			Beclomethasone dipropionate is a prodrug of the free form, beclomethasone (beclomethasone-17-monopropionate). An anti-inflammatory, synthetic corticosteroid, it is used topically as an anti-inflammatory agent and in aerosol form for the treatment of asthm		The acute toxicity of beclometasone dipropionate is low. The only harmful effect that follows inhalation of large amounts of the drug over a short period of time is suppression of hypothalamic-pituitary-adrenal (HPA) function. Chronic: The excessive use o	[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C				20020131	
26346008	Ethambutol hydrochloride										20020131	
116112001	Pemirolast potassium										20020131	
83534009	Cyclopentolate hydrochloride										20020131	
414289007	Formoterol	73573-87-2	5ZZ84GCW8B	Formoterol is a long-acting (12 hours) beta2-agonist used in the management of asthma and/or chronic obstructive pulmonary disease (COPD). Inhaled formoterol works like other beta2-agonists, causing bronchodilatation through relaxation of the smooth muscl		An overdosage is likely to lead to effects that are typical of ÃŸ2-adrenergic stimulants: nausea, vomiting, headache, tremor, somnolence, palpitations, tachycardia, ventricular arrhythmias, metabolic acidosis, hypokalemia, hyperglycemia.				C19H24N2O4	20050131	
387278002	Dextroamphetamine										20030131	
