Identifier	Supplier Name	Country
1473791000189100	Spica Lab		
1473801000189101	Aquascot Healthcare Private Limited		
2065731000189104	Clarianz Pharmaceuticals Private Limited		
2865491000189106	Chemyin India Healthcare Private Limited		
1248031000189108	Ecstasy Biotech Private Limited		
2136241000189105	Brisk Pharmaceuticals Private Limited		
2560471000189100	Elis Pharmaceuticals (India) Private Limited		
997751000189107	Rezichem Health Care Private Limited		
1248051000189104	Trident Pharmaceuticals Private Limited	India	
1747091000189100	Laurus Labs Limited		
1957401000189109	Aavhanzr Pharmaceuticals Private Limited		
997891000189107	PCM Biotech		
2560521000189103	Elan Pharma (India) Private Limited		
2065741000189105	Mini Pharmaceuticals		
1608011000189106	Allen Homoeo And Herbal Products Limited		
997951000189109	Bioguard Organics Limited		
1836971000189104	Enactis Healthcare Private Limited		
998001000189105	Voizmed Pharma Private Limited		
1531281000189102	Edoc Life Sciences Private Limited	India	
1694471000189101	Biogen Idec Biotech India Private Limited		
2474011000189107	Iwynn Pharma Private Limited		
998271000189105	Aegis Prescriptions Private Limited	India	
2093161000189106	Bhandaree Consumer Products Private Limited		
2560611000189105	Torso Lifesciences Private Limited		
2647901000189100	Mohkal Biologicals Private Limited		
998551000189101	Motif Health Care	Not Available	
1473831000189109	Vaks Pharma		
2560631000189100	Cz Healthcare Private Limited		
2136251000189108	Medvyom Pharma Private Limited		
2093181000189100	Doctomed		
998721000189101	Addii Biotech Private Limited	India	
1709351000189107	Eskos Pharma		
2136261000189106	Novoslab Private Limited		
998871000189109	Yew Biotech		
2272161000189100	Mclaine Pharmaceutical		
998901000189109	Shiron Pharmaceuticals		
2136271000189102	Ulive Pharma		
2272171000189109	Medisa Medilife		
2030621000189106	Larsen Formulations Private Limited	India	
2474091000189101	Medrex Pharma		
2272181000189106	Pacira Healthcare Private Limited		
999081000189107	Glounce Pharmaceuticals		
999141000189101	Dawson Healthcare Private Limited		
2272241000189108	Healsafe Pharma Private Limited		
1873611000189109	Dolphins Healthcare		
1531381000189108	Blaze Remedies		
2560731000189107	Spectrum Falcon		
2136281000189100	Plorax Pharma Private Limited		
2065801000189104	Mbworld Exim Private Limited		
2647991000189109	Razenta Pharmaceuticals Private Limited		
1339281000189100	A Menarini India Private Limited	India	
1473881000189108	Adenscot Healthcare		
1846571000189106	Intsia Pharma Private Limited		
1450611000189108	Concord Medipharma Private Limited	India	
1509901000189106	Tyykem Private Limited	India	
999881000189104	KC Laboratories	India	
999891000189102	Regaliz Medicare Limited		
2065841000189101	Jeevecam Lifescience Private Limited		
999941000189103	Scutage Pharmaceuticals		
1776181000189104	Associated Biopharma Private Limited		
1473891000189105	Zeytin Pharma Private Limited		
999991000189105	DNA Labs India Private Limited		
2865671000189109	Harasha Pharma Private Limited		
2865681000189106	Stetho Pharma (India) Private Limited		
1248151000189103	Surge Biotech Private Limited	India	
1000111000189104	Otik Biotec		
2734981000189106	Konquest Pharma Private Limited		
2136291000189103	Markecho Pharmaceuticals Private Limited		
1000171000189106	Cista Medicorp	India	
2272411000189106	Yazidi Pharma		
2136301000189104	Medocyte Pharmaceuticals		
1000271000189102	Nature Biotech Private Limited		
1000301000189104	CHS Formulations		
1608091000189100	Agaaz Ophthalmics		
1000431000189103	Tyscon Pharmaceuticals Private Limited		
2735021000189105	Neoaxis Health Private Limited		
1636321000189108	Talohsty Medmark Private Limited	India	
2030711000189106	Apace Life Sciences Private Limited		
1000561000189109	Fox and Wolf Health Care		
2030721000189103	Regoshin Healthcare Private Limited		
1709381000189104	Vilin Bio Med Limited		
1747141000189108	Pykon Healthcare Private Limited		
2648131000189105	Amneal Healthcare Private Limited		
1736151000189109	Synwell India Pharma Private Limited	India	
1000781000189107	Aretaeus Pharmaceuticals Private Limited	India	
1248191000189108	Vee Remedies Private Limited	India	
2003391000189102	Uhud Lifesciences (opc) Private Limited		
2272581000189101	Labios Pharmaceutical Private Limited		
2136311000189102	Remeris Pharma Private Limited		
1000881000189101	Smith Stanistreet Pharmaceuticals Limited		
1000901000189103	Cospex Pharmaceuticals Private Limited		
2474381000189101	Daffoworth Pharmaceutical Private Limited		
2136321000189105	Anster Pharmaceuticals Private Limited		
1339321000189105	LifeSurge BioSciences Private Limited		
1000961000189104	Focus Healthcare	India	
1930051000189101	Curiton Life Sciences Private Limited		
1001011000189108	Pacific Drugs and Chemicals	India	
2474401000189101	Medcryst Pharmaceuticals Private Limited		
1450631000189103	Surewin Healthcare	India	
1001061000189105	Aspire Healthcare		
2560981000189109	Nevuron India Private Limited		
1001111000189109	Aman Healthcare		
2136331000189107	Ernst Pharmacia Private Limited		
1899321000189101	Hermes Therapeutics Private Limited		
2272621000189101	Med Express Clinical Research Solutions Private Limited		
1001251000189100	Bluepipes Healthcare Private Limited		
2272661000189106	Ezylab Healthcare Private Limited		
2272691000189103	Imperious Pharmaceutical Private Limited		
2136341000189101	Mediquest Inc		
2003421000189105	Agshov Pharmaceuticals Private Limited		
1736171000189103	Shinepath Remedies Private Limited		
1001481000189109	Geneka Biotek		
1957601000189107	Holyhind Pharma		
1001641000189101	Klokter Life Sciences Private Limited		
2065931000189101	Novitas Remedies Private Limited		
2561061000189109	Aster Formulations Private Limited		
2065951000189105	Caring Lifesciences Private Limited		
1776251000189104	Zynor Pharmaceutical Private Limited	India	
1339371000189109	Xenon Pharmaceuticals	India	
2136351000189103	Dicore Pharmaceuticals Private Limited		
2474491000189105	Qualimed Bioscience Private Limited		
1001891000189109	Viking Pharma (Opc) Private Limited		
2136361000189100	Delight Medica Private Limited		
2136371000189109	Mediblink Pharma		
1001911000189107	Priya Life Science		
1001931000189102	Techyon Biotech Private Limited		
2272791000189107	Woriox Pharma Private Limited		
1001941000189108	Godrams Lifeline		
2093301000189109	Eryx Biotech		
1805971000189103	Velnourish Pharma Private Limited		
2561121000189100	Shelon Pharmalabs Private Limited		
2136381000189106	Aelix Healthcare		
1002021000189109	Ravian Life Science Private Limited	India	
2648241000189106	Tungsten Lab Private Limited		
1002071000189108	Raj Bioceuticals		
1002081000189105	Plenus Pharmaceuticals Private Limited		
2474531000189105	Adinex Healthcare		
2136391000189108	Aureate Healthcare Limited		
2136401000189106	Paarzon Pharmaceuticals		
2272861000189105	Medibless Pharma Private Limited		
1473931000189103	Astorion Pharmaceuticals Private Limited		
2272931000189109	C & C Pharmaceutical		
1806021000189106	Canipla Care		
2817461000189108	Ingrow Pharma		
2474571000189107	Ascent Pharma Private Limited		
1002511000189108	Tesni Pharmaceuticals		
2272961000189102	Wellmed Pharma		
1648761000189101	My Pura Vida Wellness Private Limited		
1648771000189105	Medsyn Lab Biotech		
2093401000189102	Domain Healthcare		
2136411000189108	Orven Pharma Private Limited		
1873721000189109	Wal-mart India Private Limited		
1288011000189105	Winmark Pharmaceuticals Private Limited	India	
2409841000189106	Nammada Healthcare Private Limited		
2409851000189109	Sanjivani Paranteral Limited		
1002841000189107	Biotic Healthcare Private Limited		
2561261000189101	Skingrace Pharmaceuticals		
1002881000189102	Maxmed Life Sciences Private Limited		
1510021000189107	Win Health Pharma		
2066031000189109	Sanorex Pharmaceuticals		
2136421000189100	Liaise Pharmaceuticals Private Limited		
1003001000189107	Sarthi Life Science Private Limited		
2136431000189103	Crms Pharmaceuticals Private Limited		
2865931000189102	Abnart Pharma		
1473961000189105	Medcover Pharmaceuticals (OPC) Private Limited		
1003191000189104	Zumentes Healthcare		
1003241000189104	Zeotec Life Science Private Limited		
1586071000189105	Bioethics Lifesciences Private Limited		
2136441000189109	Medcorpus Pharmaceuticals Private Limited		
1003321000189104	Aletron Pharmaceuticals		
2648441000189105	Innings Pharmaceuticals Private Limited		
1709491000189108	Livealth Biopharma Private Limited		
2093471000189107	Medikind Lifesciences (Hyderabad) Private Limited		
2474691000189107	Bio Schutz Pharmaceuticals Private Limited		
2273071000189104	Biomax Life Sciences Limited		
2865981000189103	Xyiris Pharmaceuticals Private Limited		
2136451000189107	Glaztar Lifesciences Private Limited		
2093491000189106	Rpvp Pharmaceuticals Private Limited		
2066071000189106	Blayarson Remedies Private Limited		
1003831000189109	Devoir Lifesciences Private Limited		
1003871000189106	Eskag Pharma Private Limited	India	
2648501000189106	Biospark Pharmaceuticals And Laboratories Private Limited		
2093501000189103	Avitec Pharma		
2136461000189105	Welwart Pharmaceutical Private Limited		
2136471000189101	Earl Pharmaceuticals Private Limited		
1003941000189109	Lavue Pharmaceuticals Private Limited		
2136481000189104	Careveil Lifesciences		
1776361000189107	Avecia Healthcare	India	
1004021000189103	Dana Pharmaceuticals Private Limited		
2273141000189108	Sentro Pharma & Health Care Llp		
1004071000189104	Lamicon Pharma Private Limited		
2273161000189109	Wholesome Medtech		
2474741000189105	Cadsol Life Sciences Llp		
2030871000189106	Nunchi Pharma Private Limited		
2093521000189109	Sag Pharma Private Limited		
2474761000189106	My Health Life Sciences		
1004231000189107	SandMartin Pharmaceuticals Private Limited	India	
1004281000189106	Acto Pharma Private Limited	India	
2093541000189100	Aurista Pharma Private Limited		
