"General Name","LOINC Code","Fully-Specified Name (FSN)","Long Common Name"
"Aspergillus fumigatus allergy test","6025-1","Aspergillus fumigatus Ab.IgE:ACnc:Pt:Ser:Qn","Aspergillus fumigatus IgE Ab [Units/volume] in Serum"
"Calcium, Urine","6874-2","Calcium:MRat:24H:Urine:Qn","Calcium [Mass/time] in 24 hour Urine"
"Cadmium, Blood","5609-3","Cadmium:MCnc:Pt:Bld:Qn","Cadmium [Mass/volume] in Blood"
"Oxalate, Urine","2701-1","Oxalate:MRat:24H:Urine:Qn","Oxalate [Mass/time] in 24 hour Urine"
"Bone alkaline phosphatase, Blood","15013-6","Alkaline phosphatase.bone/Alkaline phosphatase.total:CFr:Pt:Ser/Plas:Qn","Alkaline phosphatase.bone/Alkaline phosphatase.total in Serum or Plasma"
"Insulin sensitivity index, Blood","93792-0","Insulin sensitivity index:Ratio:Pt:Ser/Plas:Qn:Calculated","Insulin sensitivity index in Serum or Plasma by calculation"
"Eosinophils, Blood","711-2","Eosinophils:NCnc:Pt:Bld:Qn:Automated count","Eosinophils [#/volume] in Blood by Automated count"
"Amylase, Blood","1798-8","Amylase:CCnc:Pt:Ser/Plas:Qn","Amylase [Enzymatic activity/volume] in Serum or Plasma"
"Alkaline phosphatase, Urine","1776-4","Alkaline phosphatase:MCnc:Pt:Urine:Qn","Alkaline phosphatase [Mass/volume] in Urine"
"Albumin, Urine","57369-1","Albumin:MCnc:12H:Urine:Qn:Detection limit <= 20 mg/L","Microalbumin [Mass/volume] in 12 hour Urine"
"Monocytes, Blood","26484-6","Monocytes:NCnc:Pt:Bld:Qn","Monocytes [#/volume] in Blood"
"Lymphocytes, Blood","26474-7","Lymphocytes:NCnc:Pt:Bld:Qn","Lymphocytes [#/volume] in Blood"
"17-Ketosteroids, Urine","21038-5","17-Ketosteroids:MCnc:24H:Urine:Qn","17-Ketosteroids [Mass/volume] in 24 hour Urine"
"Albumin, Urine","30003-8","Albumin:MCnc:24H:Urine:Qn:Detection limit <= 20 mg/L","Microalbumin [Mass/volume] in 24 hour Urine"
"ABO group, Blood","883-9","ABO group:Type:Pt:Bld:Nom","ABO group [Type] in Blood"
"25-hydroxyvitamin D, Blood","62292-8","Calcidiol+ercalcidiol:MCnc:Pt:Ser/Plas:Qn","25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma"
"Adenosine deaminase, Pleural fluid","35704-6","Adenosine deaminase:CCnc:Pt:Plr fld:Qn","Adenosine deaminase [Enzymatic activity/volume] in Pleural fluid"
